Path no.	a	b	c	E_P	R_P	I_P	E	crash	S	Length	No. pixel
397.0	0.12827052111465376	0.595379018487469	0.2763504603978772	56.892993197783355	2.060406721727178	53.66982409203797	85506.3985183291	0.5561814546997779	0.5934104235451669	801.8035363211507	132.0
398.0	0.1187063631843454	0.5509861298352406	0.33030750698041383	57.386464385020844	2.209307311414365	53.172661754007095	86248.05301076466	0.5804358513809814	0.6002055507217512	808.5418693802746	133.0
399.0	0.10827898408105555	0.5025865234255633	0.38913449249338106	57.386464385020844	2.209307311414365	53.172661754007095	86248.05301076466	0.5804358513809814	0.6002055507217512	808.5418693802746	133.0
401.0	0.5818138716526947	0.20909306417365262	0.20909306417365262	50.30867305498559	0.7637342714110181	60.65279198990174	75610.60168188733	0.25802817479933104	0.5261500625788926	719.589066429186	128.0
402.0	0.5483838375059861	0.19707893282386293	0.25453722967015097	50.35089346553528	0.8029878315493173	60.516226543048106	75674.05616102713	0.2693800324247432	0.5272169801324367	719.589066429186	128.0
403.0	0.5104995419159752	0.1834640229103635	0.30603643517366125	50.35089346553528	0.8029878315493173	60.516226543048106	75674.05616102713	0.2693800324247432	0.5272169801324367	719.589066429186	128.0
404.0	0.4686815177809522	0.16843540425738773	0.3628830779616602	50.39676260187265	0.8348310551566692	60.43272815115051	75742.99443322736	0.27846829892565705	0.5278693113191366	719.589066429186	128.0
405.0	0.4238399159412301	0.15232016811753976	0.4238399159412301	54.28736437569583	3.155045511723821	54.44895432204794	81590.31107188866	0.7105123828189241	0.5746175443590005	759.0613076116637	128.0
406.0	0.37722595878838805	0.135567980503551	0.487206060708061	55.50300130783592	2.7576365119460915	53.52818156094145	83417.3328215058	0.6617719990855404	0.5818110815551449	778.7974282029026	128.0
407.0	0.33030750698041395	0.11870636318434541	0.5509861298352406	55.81535434132438	2.841561688130104	53.29836997730308	83886.77873142698	0.6729648696966688	0.5836064845523197	782.7446523211504	128.0
408.0	0.2845908789605263	0.10227665894025084	0.6131324620992228	56.06905722542005	2.8415830032456566	53.161804530449444	84268.07735351424	0.67296757894672	0.5846734021058637	786.6918764393981	128.0
409.0	0.2414327137616221	0.0867664185605949	0.6718008676777829	56.927739292898266	3.2456205564630127	52.71789524299675	85558.61959668796	0.7217363343072489	0.5881414434140879	798.5335487941417	128.0
410.0	0.20188989004186905	0.07255546454164827	0.7255546454164827	57.120364537050015	3.2895874781241865	52.654906636038504	85848.12257351098	0.7267503987108864	0.5918224291779961	801.3246577350178	129.0
411.0	0.5483838375059861	0.25453722967015097	0.19707893282386293	50.30867305498559	0.7637342714110181	60.65279198990174	75610.60168188733	0.25802817479933104	0.5261500625788926	719.589066429186	128.0
412.0	0.5185867273834431	0.24070663630827843	0.24070663630827843	50.326627900563224	0.7637342714110181	60.60655762062379	75637.58662493575	0.25802817479933104	0.5265112685888766	719.589066429186	128.0
413.0	0.4845799080661005	0.2249220690272719	0.29049802290662763	50.35089346553528	0.8029878315493173	60.516226543048106	75674.05616102713	0.2693800324247432	0.5272169801324367	719.589066429186	128.0
414.0	0.44674317314805695	0.20735981239767615	0.345897014454267	50.39676260187265	0.8348310551566692	60.43272815115051	75742.99443322736	0.27846829892565705	0.5278693113191366	719.589066429186	128.0
415.0	0.4058179879358806	0.18836402412823888	0.4058179879358806	54.28736437569583	3.155045511723821	54.44895432204794	81590.31107188866	0.7105123828189241	0.5746175443590005	759.0613076116637	128.0
416.0	0.36288307796166014	0.16843540425738773	0.4686815177809522	55.50300130783592	2.7576365119460915	53.52818156094145	83417.3328215058	0.6617719990855404	0.5818110815551449	778.7974282029026	128.0
417.0	0.31925835817928155	0.14818660303625023	0.5325550387844683	55.81535434132438	2.841561688130104	53.29836997730308	83886.77873142698	0.6729648696966688	0.5836064845523197	782.7446523211504	128.0
418.0	0.27635046039787725	0.12827052111465376	0.5953790184874689	56.06905722542005	2.8415830032456566	53.161804530449444	84268.07735351424	0.67296757894672	0.5846734021058637	786.6918764393981	128.0
419.0	0.23547594466020835	0.10929825153192438	0.6552258038078672	56.927739292898266	3.2456205564630127	52.71789524299675	85558.61959668796	0.7217363343072489	0.5881414434140879	798.5335487941417	128.0
420.0	0.19770767648003987	0.0917677743469281	0.7105245491730321	57.120364537050015	3.2895874781241865	52.654906636038504	85848.12257351098	0.7267503987108864	0.5918224291779961	801.3246577350178	129.0
421.0	0.5104995419159752	0.30603643517366125	0.1834640229103635	50.30867305498559	0.7637342714110181	60.65279198990174	75610.60168188733	0.25802817479933104	0.5261500625788926	719.589066429186	128.0
422.0	0.4845799080661005	0.29049802290662763	0.2249220690272719	50.326627900563224	0.7637342714110181	60.60655762062379	75637.58662493575	0.25802817479933104	0.5265112685888766	719.589066429186	128.0
424.0	0.4212747217587451	0.2525475607518618	0.3261777174893931	50.35659239256756	0.8029878315493173	60.5081631074936	75682.62127069283	0.2693800324247432	0.5272799757227062	719.589066429186	128.0
425.0	0.38469169408404996	0.2306166118319001	0.38469169408404996	54.27494460627981	3.084667859027819	54.50293252121901	81571.64498150561	0.702245691917676	0.5741958396779765	759.0613076116637	128.0
426.0	0.3458970144542669	0.20735981239767612	0.44674317314805695	55.50300130783592	2.7576365119460915	53.52818156094145	83417.3328215058	0.6617719990855404	0.5818110815551449	778.7974282029026	128.0
